label,embedding
0,0.105016164:0.077170834:0.0:0.0:0.0:0.0:0.0:1.9904584:0.0:0.0:0.0:0.0:0.0:0.0:1.3832915:0.0:0.0:0.0:0.0:0.0:3.5236213:5.375811:0.0:2.817167:1.2921735:1.4575914:0.0:0.0:2.4298306:6.273001:8.537642:3.0195487:0.0:0.0:0.0:4.2693324:0.0:0.0:0.0:0.0:0.0:0.0:2.749158:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:9.221209:0.0:0.0:0.06293553:0.0:0.0:0.06426842:0.0:0.0:0.0:0.0:5.717987:1.3235457:5.8064237:0.0:2.6736953:0.0:0.0:0.59743845:0.7883958:0.0:1.9539016:0.0:3.6495345:4.648121:0.0:0.0:0.0:0.0:6.7013288:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:2.8399353:0.0:0.0:0.97522825:0.90145105:0.0:0.0:0.0:0.0:2.4713886:0.0:7.806935:0.0:0.0:0.0:0.0:0.0:0.0:3.871904:0.0:0.0:0.0:0.0:0.56582624:6.11516:4.209391:0.0:5.2137814:0.0:2.689973:0.0:0.0:5.3686895:8.09469:9.798436:0.0:0.0:0.0:0.0:7.596123:1.9505875:0.0:0.0:0.0:0.0:0.0:0.51300395:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:5.547375:0.0:0.0:0.0:0.0:0.0:0.18466634:0.0:0.0:0.0:0.0:3.483125:3.9381244:6.546241:0.0:2.9229105:0.0:0.0:0.0:2.7176683:0.0:2.8544116:4.0441556:2.5661676:3.4832292:0.0:0.0:0.0:0.012657668:9.007356:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:5.101043:0.0:0.0:0.0
3,0.58029294:0.0:0.0:7.6960583:0.0:2.857651:0.0:11.412666:0.0:0.0:0.0:0.0:0.0:0.0:1.1866804:0.0:0.0:0.0:4.383736:1.6958754:5.414426:1.5324925:0.0:8.101991:0.0:2.6602638:0.0:0.0:4.9984612:8.181883:4.8536854:0.51285934:0.0:0.0:0.0:0.0:0.0:1.2121023:0.0:0.8976542:0.0:0.0:4.36447:0.5481411:0.0:0.0:0.0:0.0:1.9088182:0.0:0.0:0.0:1.9766874:0.0:0.0:0.0:0.0:3.2167501:0.0:0.0:0.39549428:0.0:0.0:0.4677493:2.837876:0.0:0.0:1.148469:4.194904:8.208235:4.1898627:7.271483:8.456691:0.0:3.1092482:0.0:0.0:0.0:7.19316:5.2362146:8.679791:8.421335:0.0:0.0:2.0279489:2.5378857:6.97073:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:6.7271304:0.0:0.0:9.935982:0.0625674:0.0:0.0:0.0:0.0:1.9145695:0.0:13.726836:0.0:3.9447513:0.44890603:0.0:0.0:0.0:0.0:0.0:0.0:0.0:4.941359:0.0:3.1926687:0.0:0.0:8.071191:0.23343605:3.5641942:0.0:0.0:3.401546:3.1907432:6.0580053:3.5905602:0.0:0.0:0.0:0.21005963:0.0:0.0:0.0:0.0:0.0:0.0:11.443543:0.08133614:4.409322:0.0:0.0:0.0:1.962496:0.0:0.0:0.0:3.5289187:0.0:0.0:0.0:0.0:4.1976357:0.0:0.0:1.6150867:0.0:0.0:8.4853115:5.488833:0.0:0.0:0.0:10.412491:17.496584:13.850849:5.439407:2.7867744:0.0:1.1059105:0.0:3.6670883:0.0:5.7736373:3.5560126:4.821157:12.548918:0.0:0.0:0.0:0.0:4.5529094:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:9.352257:0.0:0.0:7.6653743
3,0.0:0.0:0.0:1.4161633:0.0:0.0:2.1027708:4.6144185:0.0:0.43342167:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:1.8463967:0.5966366:3.9693716:5.7964478:0.0:7.341636:1.9809458:1.494966:0.0:0.0:2.612436:8.12531:3.9723692:7.8477125:0.0:0.0:0.0:4.047306:0.7901734:0.0:0.0:0.0:0.0:0.0:4.6195483:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:1.1532476:5.6196566:0.0:0.0:0.0:0.0:0.0:1.1074708:0.0:0.0:0.0:0.0:7.7674456:5.7474203:7.448321:2.7201855:3.3165443:0.0:0.0:0.0:2.6014743:0.0:4.843104:2.625115:5.086934:6.683897:0.0:0.0:0.0:0.0:7.9872727:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:5.8873434:0.0:0.0:4.383543:2.3984256:0.0:0.0:0.0:0.0:6.407783:0.0:22.188963:0.0:0.34338596:0.0:0.26951352:0.0:0.0:0.0:0.0:0.0:0.0:6.286422:0.49031407:4.8394494:0.0:0.0:9.626981:0.0:0.0:0.0:0.0:4.949098:6.180178:6.482034:0.0:0.0:0.0:0.0:4.8336725:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:4.3201184:0.0:0.0:0.0:6.2362742:0.0:0.52874553:0.0:0.0:0.0:0.0:0.6777978:0.0:0.0:0.0:0.0:4.535171:0.0:0.0:8.196679:3.1274345:3.1149414:0.0:0.0:6.4500957:19.48928:10.534186:7.828641:3.4140897:0.0:0.0:0.0:3.9171352:0.0:5.480404:10.974649:8.971967:10.676874:0.0:0.0:0.4528389:0.0:2.3772938:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:11.890977:1.800369:0.0:5.5080733
1,4.3600597:0.0:0.0:9.395309:0.0:5.4473295:0.0:12.3804655:0.0:0.0:0.0:0.0:0.0:0.0:2.101056:0.0:0.0:0.0:2.676041:0.0:5.8351974:5.480355:0.0:4.8081965:0.0:3.7159202:0.0:0.0:7.118749:9.445641:6.482546:0.7405597:0.0:0.0:0.0:3.1649086:0.0:0.0:0.0:0.0:0.0:0.0:5.113466:0.0:0.0:0.0:0.0:0.0:3.499502:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:5.3632436:0.0:0.0:2.1020768:0.0:0.0:3.2386434:6.5703:0.0:0.0:0.0:3.7416859:11.515231:11.422295:5.7733617:7.8491654:0.0:0.0:0.0:0.8320821:0.0:5.061269:9.225171:5.849292:10.109973:0.0:0.0:1.2356355:5.4973783:3.7706099:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:8.816487:0.0:0.0:5.726406:0.0:0.0:0.0:5.8090625:0.0:0.0:1.7148668:3.9288602:0.0:0.5021971:0.0:0.0:0.0:0.0:2.0553539:0.0:0.0:0.0:0.0:0.0:7.809623:6.616116:0.0:11.963213:0.55128217:2.0948336:0.0:0.0:4.410754:11.807886:7.2106876:12.022442:0.0:0.0:0.0:1.835454:0.0:0.0:0.0:0.0:0.0:0.0:12.67857:0.548596:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.8138048:0.0:0.0:0.0:0.0:12.081487:1.1668891:0.0:0.0:0.0:0.0:0.79467165:0.855975:0.0:0.0:0.0:11.930164:5.8767467:6.447466:5.2273965:6.8430696:0.0:4.762263:0.0:0.3768241:0.0:4.506761:0.0:9.257284:13.057499:0.0:0.0:0.0:0.0:11.257345:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:4.6164584:1.3389194:0.0:11.772859
1,4.276808:0.0:0.0:8.876378:0.0:4.9850693:0.0:4.8377085:0.0:0.0:0.0:0.0:0.0:0.0:1.2600521:0.0:0.0:0.0:0.14340954:0.0:7.370117:9.461105:0.0:3.5714018:0.0:6.306091:0.0:0.0:5.6411037:9.316882:8.088728:2.826162:0.0:0.0:0.0:7.0887895:0.0:0.0:0.0:0.0:0.0:0.0:1.9162785:0.3394173:0.0:0.0:0.0:0.0:2.943495:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:9.775301:0.0:0.0:1.3227487:0.0:0.0:0.0:2.2914052:0.0:0.0:0.0:1.4175618:7.824245:12.383739:3.7818668:7.5652127:0.0:0.0:0.0:3.05549:0.0:7.301376:10.400224:0.17661071:7.192749:0.0:1.6486003:0.0:6.9038305:5.3860555:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:5.2420363:0.0:0.0:1.7938607:0.0:0.0:0.0:5.553163:0.0:0.0:0.0:12.126576:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:1.1485199:0.0:4.787189:2.8321643:0.0:9.3095455:0.0:5.943145:0.0:0.0:5.1329384:6.599505:6.381213:8.668532:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.30731177:0.0:0.0:11.557538:0.054937456:0.4819605:0.0:0.0:0.0:3.84671:0.0:0.0:0.0:5.049384:0.0:0.0:0.0:0.0:10.427796:0.0:0.0:0.0:0.0:0.0:5.555966:5.065958:0.0:0.0:0.0:10.200326:14.106381:13.56129:8.2797985:6.4070325:0.0:0.3207796:0.65183675:0.1323096:0.0:7.542951:2.9459934:4.1504498:11.193972:0.0:0.0:0.0:0.0:5.2671914:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:7.5246162:0.0:0.0:11.321817
3,3.1420074:0.41509223:0.0:8.692419:0.0:0.0:0.0:11.066004:0.0:0.0:0.0:0.0:0.0:0.0:10.056714:0.0:0.0:0.0:3.7470572:0.0:9.690699:4.710929:0.0:1.3789014:0.0:0.9077009:0.0:0.0:10.390873:8.8524475:6.177189:5.5656977:0.0:0.0:0.0:6.699082:0.0:0.0:0.0:0.0:0.0:0.0:6.512777:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.110550106:0.0:0.0:0.0:0.0:0.0:0.0:8.487598:0.0:0.0:1.2248151:0.0:0.0:0.0:2.444047:0.0:0.0:2.3282175:1.972261:1.8796635:10.907241:0.082950585:10.238356:0.0:0.0:0.0:0.0:0.0:6.504685:0.830006:4.122262:4.828562:0.0:0.0:0.0:9.175619:10.8614855:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:6.616333:0.0:0.0:1.4197302:0.0:0.0:0.0:3.3957624:0.0:1.5527182:0.0:7.0836654:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:1.9266126:0.0:1.7317433:4.069585:0.0:5.072231:0.0:3.409805:0.0:0.0:3.4037185:3.4709282:1.1406779:1.9902121:0.0:0.0:0.0:1.3909944:0.0:0.0:0.0:0.0:0.0:0.0:2.5140908:0.0:0.24068108:0.0:0.0:0.0:2.6208532:0.0:0.6020499:0.0:0.35388824:0.0:0.0:0.0:0.0:3.0788603:0.0:0.0:0.82985806:0.0:0.0:1.4849988:1.7723887:0.16036719:0.0:0.0:2.5036638:8.018896:7.900902:4.0596943:3.321597:0.0:0.0:1.0475763:2.663403:0.0:4.8859906:3.922812:2.0042725:3.2035208:0.0:0.0:0.0:0.0:1.1084415:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:5.394682:0.0:0.0:4.932182
0,3.501245:0.0:0.0:6.048109:0.0:4.225845:0.0:4.31073:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.35639784:5.394495:1.1156659:0.0:5.209146:0.0:3.231095:0.0:0.0:5.2602496:8.733463:8.787211:4.0585003:0.0:0.0:0.0:5.780469:0.0:0.0:0.0:0.0:0.0:0.0:3.4501913:0.0:0.0:0.0:0.0:0.0:2.4855497:0.0:1.9365174:0.0:0.0:0.0:0.0:0.0:0.0:3.487024:0.48868304:0.0:0.0:0.0:0.0:4.4432774:0.0:0.0:0.0:0.0:4.9936986:0.32198742:5.0452375:3.5100818:6.0192876:0.0:0.76495177:0.0:0.14705917:0.0:6.157671:8.331734:1.0195436:4.672978:0.0:0.0:0.0:0.4056195:8.152858:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.6819366:0.0:0.0:1.6344537:0.0:0.0:0.0:0.31938714:0.0:0.0:0.0:4.7196946:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:1.522087:0.32044035:3.365131:1.7880551:0.0:14.708505:0.0:0.0:0.0:0.0:0.0:6.0072927:11.170213:6.328223:0.0:0.0:0.0:0.0:0.6523551:0.0:0.0:2.61622:0.0:0.0:11.838783:3.5263326:3.2632122:0.0:0.0:0.0:4.9728823:0.0:0.0:0.0:3.6889625:0.0:0.0:0.0:0.0:3.3101428:0.0:0.0:0.298051:0.0:0.0:7.8422284:3.0810437:0.0:0.0:0.0:12.86105:13.212403:7.551342:5.656232:3.0725982:0.0:4.4093304:0.0:0.0:0.0:2.5141957:4.0859113:4.825783:12.545229:0.0:0.0:0.0:0.0:7.455978:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:1.5569724:3.4065633:0.0:7.3621035
0,2.9389396:0.0:0.0:9.470539:0.0:4.970484:0.0:6.761731:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:3.813484:0.987946:3.8468564:4.4782195:0.0:2.2167504:2.110248:4.2894273:0.0:0.0:5.79383:11.229143:5.142275:3.60688:0.0:0.0:0.0:4.626237:0.0:0.0:0.0:0.0:0.0:0.0:3.2451046:1.7932204:0.0:0.0:0.0:0.0:1.1066796:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:8.301983:0.0:0.0:0.75625575:0.0:0.0:0.0:4.0056167:0.0:0.0:0.0:4.7765226:7.643004:9.233334:6.092569:6.5003424:0.0:0.25368932:0.0:3.3510473:0.0:7.123008:6.478873:5.935869:10.256162:0.0:0.52869385:0.0:6.88971:8.396876:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:5.356348:0.0:0.0:5.1538234:2.2475655:0.0:0.0:2.1437538:0.0:0.69616556:0.0:5.5145297:0.0:0.0:0.0:0.0:0.0:0.0:0.3194182:0.0:0.0:0.0:0.5765063:0.0:3.2871518:0.67685133:0.0:4.7484164:0.0:2.226232:0.0:0.0:3.858233:4.508968:2.4545164:0.9558643:0.0:0.0:0.0:2.6747408:0.0:0.0:0.0:0.0:0.0:0.0:0.779109:0.0:0.0:0.0:0.0:0.0:1.8466539:0.0:1.2923429:0.0:0.0:0.0:0.0:0.0:0.0:2.8973255:0.0:0.0:0.0:0.0:0.0:2.44337:0.38785407:0.0:0.0:0.0:2.0208013:2.8965654:6.0708814:2.2705033:3.5772324:0.0:0.0:0.0:1.6662642:0.0:3.3539474:4.790277:1.3634413:2.823243:0.0:0.0:0.62745386:0.0:2.1859446:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:4.320483:0.0:0.0:2.3207622
2,1.8767387:0.0:0.0:8.256443:0.0:0.0:0.0:6.4569:0.0:0.0:0.0:0.0:0.0:0.0:0.8906538:0.0:0.0:0.0:1.7524366:2.5943127:4.012721:3.8074396:0.0:0.0:3.5994415:3.887481:0.0:0.0:6.0543184:11.498083:4.353588:10.405048:0.0:0.0:0.0:7.2886734:0.0:0.0:0.0:0.0:0.0:0.0:7.235227:1.1369666:0.0:0.0:0.0:0.0:0.0:0.0:0.6115629:0.0:0.0:0.0:0.0:0.0:0.0:14.643248:0.0:0.0:0.0:0.0:0.0:0.0:2.0007117:0.0:0.0:0.0:6.057208:3.1027884:10.418115:4.561797:5.4338884:0.0:0.23390727:0.0:1.4275997:0.0:8.394122:0.61562383:5.912799:9.950611:0.0:0.0:0.0:6.64863:12.39401:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:6.2638063:0.0:0.0:4.575183:0.0:3.5306737:0.0:0.0:0.0:0.0:2.2031353:11.870469:0.0:5.686707:0.0:0.0:0.0:0.0:2.259143:0.0:0.0:0.0:1.4583389:0.0:5.943342:2.932387:0.0:3.547135:0.0:3.7343762:0.0:0.0:7.583791:11.645991:5.8205867:12.141612:0.0:0.0:0.0:6.073719:4.5926094:0.0:0.0:0.0:0.0:0.0:11.6318655:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.47843856:0.0:0.0:0.0:0.30607632:0.0:0.0:12.167053:0.0:0.0:0.0:0.0:0.0:0.8074003:0.62352574:0.0:0.0:0.0:11.987026:5.1966763:13.057531:0.40874553:4.2312293:0.0:0.63413566:1.1787854:5.183334:0.0:3.540708:0.0:8.510969:10.580641:0.0:0.0:0.0:0.6729614:16.145649:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:9.748665:0.0:0.0:6.8967075
1,4.4165406:0.0:0.0:4.9862566:0.0:5.816478:0.0:12.412286:0.0:0.0:2.8044653:0.0:0.0:0.0:8.810276:0.0:0.0:0.0:5.7736216:0.0:11.366696:5.927845:0.0:0.4921874:0.0:1.8452313:0.0:0.0:8.804811:7.9242005:11.051465:0.0:0.0:0.0:0.0:7.566743:0.0:0.0:0.0:0.0:0.0:3.371745:1.8054016:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:4.596801:0.0:0.0:6.3612437:0.0:0.0:0.0:0.0:0.0:0.0:0.3673848:0.0:9.975438:9.399623:0.5794177:7.0419297:0.0:0.0:0.0:1.3881509:0.0:2.0707262:8.597636:3.8218331:6.0337863:0.0:0.0:0.0:12.252145:7.2211943:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:7.1407523:0.0:0.0:0.5651037:0.0:0.0:0.0:3.3635964:0.0:0.0:0.0:4.4576244:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:5.020766:3.8044198:2.6984038:5.9851937:0.0:15.059782:2.8762038:0.0:0.0:0.0:0.0:9.771503:10.579959:10.139093:0.0:0.0:0.0:0.30852273:0.0:0.0:0.0:0.0:0.0:0.0:11.932655:2.157858:3.0096834:0.0:0.0:0.0:5.260132:0.0:0.0:0.0:0.85751444:0.0:0.0:0.0:0.0:2.4761012:0.0:0.0:0.0:0.0:0.0:5.583484:1.2614574:0.0:0.0:0.0:15.513345:14.666109:8.331925:8.553983:2.0997791:0.0:6.4781575:0.0:0.8207449:0.0:3.4292974:6.675103:7.479525:14.471526:0.0:0.0:0.0:0.0:10.153076:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:3.5361323:1.7413236:0.0:8.990788
0,0.0:4.3418045:0.0:0.21654934:0.0:0.0:2.8297527:0.67168534:0.0:0.0:0.0:0.0:0.0:0.0:0.33704078:0.0:0.0:0.0:0.0:0.0:5.3181586:4.49629:0.0:3.781584:0.59296465:1.9124038:0.0:0.0:2.5754673:5.716039:6.044469:7.7274566:0.0:0.0:0.0:2.5243711:2.2314732:0.0:0.0:0.0:0.0:0.0:7.111914:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:2.5488822:0.0:0.0:5.827409:0.0:0.0:0.0:0.0:0.0:2.848979:0.0:0.0:0.0:0.0:6.0074396:1.4513111:5.3305736:0.0:2.2142982:0.0:0.0:2.43995:0.0:0.0:1.8250722:0.0:2.053426:5.1844764:0.0:0.0:0.0:0.0:9.202293:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:2.7162743:1.9182379:0.0:2.8334749:0.7687291:0.0:0.0:2.80143:0.0:0.0:0.0:2.676853:0.0:0.45214176:0.0:0.0:0.0:0.0:2.8915002:0.0:0.0:0.0:0.0:0.75843275:4.157575:2.049525:0.7249111:0.0:0.3702426:1.1180987:0.0:0.0:2.8204348:5.319047:4.340644:0.64232504:0.0:0.0:0.0:4.666686:0.0:1.887719:0.0:0.0:0.0:0.0:1.9920914:0.32766685:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.2194663:0.0:0.0:0.0:0.0:7.2096767:0.0:0.0:0.0:0.0:0.0:0.18158329:0.0:0.0:0.0:0.0:1.9529115:0.0:4.9399414:1.6170592:2.5641975:0.0:0.59061193:0.0:1.0131247:0.0:2.6186786:1.3410714:2.561535:4.8946867:0.0:0.32635033:0.0:2.17785:4.660788:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:2.6462536:0.0:0.0:0.16263072
1,0.0:0.0:0.0:2.6093452:0.0:1.6102847:0.0:12.5847645:0.0:0.0:0.0:0.0:0.0:0.0:3.5183296:0.0:0.0:0.0:3.3129869:2.7320917:5.4909687:3.1594398:0.0:2.3552969:0.0:0.9332936:0.0:0.0:8.357665:8.187524:4.9306846:5.22816:0.0:0.0:0.0:7.318604:0.0:0.0:0.0:0.0:0.0:0.0:5.195073:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.226813:7.0283604:0.0:0.0:0.0:0.0:0.0:0.0:0.956598:0.0:0.0:0.0:5.3013487:3.693891:8.575085:2.4310257:5.5475445:0.0:0.7327509:0.0:2.616467:0.0:5.0860214:2.7581387:7.0918264:7.2171726:0.0:0.0:0.0:4.0735083:11.638583:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:6.0085125:0.0:0.0:2.9945595:1.5201632:0.6666767:0.0:2.6828508:0.0:2.468065:0.0:6.9540024:0.0:0.0:0.0:0.0:0.0:0.0:0.71567196:0.0:0.0:0.0:0.0:0.0:10.319428:4.2980366:0.0:5.927466:0.74572927:2.8613403:0.0:0.0:6.1401424:12.035785:16.73044:4.679561:0.0:0.0:0.0:11.184202:4.1772957:0.0:0.0:0.0:0.0:0.0:6.7524314:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.26849425:5.8872914:0.0:0.0:0.0:0.0:0.0:9.066716:0.0:0.0:0.0:0.0:8.174915:0.6961928:8.854524:0.08210497:3.9719558:0.0:2.11129:0.0:0.68752813:0.0:4.7984047:4.8431864:4.587439:7.474232:0.0:0.0:0.0:0.0:13.323391:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:7.1556377:0.0:0.0:0.0
3,2.7533934:0.0:0.0:4.2660275:0.0:3.0962827:0.0:6.134237:0.0:0.0:1.1282935:0.0:0.0:0.0:3.1991665:0.0:0.0:0.0:2.7801163:0.0:7.222206:2.5083966:1.0933534:0.0:1.785842:5.071166:0.0:0.0:6.2163634:8.475356:7.364914:4.271129:0.0:0.0:0.0:6.7461805:0.0:0.8077866:0.0:0.0:0.0:0.0:5.5485744:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:13.149214:0.0:0.0:1.6516626:0.0:0.0:0.0:1.642906:0.0:0.0:0.0:1.142791:2.268299:9.2270155:0.81247663:2.3320658:0.0:0.0:1.2332834:1.0797865:0.0:3.8360758:0.0:1.0471022:6.087597:0.0:0.0:0.0:11.932416:10.763534:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:3.5373979:0.0:0.0:0.0:0.0:0.21086298:0.0:0.0:0.0:8.2817:0.0:10.210893:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:4.248855:0.8405614:9.91321:0.9267465:0.0:6.27154:0.0:0.20650065:0.0:0.0:13.502218:9.910421:18.079369:1.6434852:0.0:0.0:0.0:17.673378:3.955252:0.0:0.0:0.0:0.0:0.0:5.657805:0.0:1.3225605:0.0:0.0:0.0:0.0:0.0:0.6217397:0.0:0.0:0.0:0.0:0.0:4.004514:0.46575484:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.11958055:0.0:0.19509631:3.8091998:7.638128:7.6370683:0.0:7.0524573:0.0:0.0:0.0:3.112556:0.0:0.0:10.342536:4.077399:4.215349:0.0:3.3280563:0.0:2.0042222:17.008356:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:10.562785:7.766163:0.0:0.0
1,0.0:0.0:0.0:0.0:0.0:0.0:3.2598438:7.148808:0.0:4.336836:0.008014061:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.41897592:0.0:5.469841:2.4738913:0.0:6.350669:2.5069816:4.5662236:0.0:0.0:5.612995:7.40563:3.7625015:11.217451:0.0:0.0:0.0:2.884312:3.4871216:0.0:0.0:0.0:0.0:0.0:12.29126:0.0:0.08346675:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.26833066:0.0:0.46733558:0.0:1.0111681:6.284515:0.0:0.0:0.0:0.0:0.0:5.3139143:0.018219337:0.0:0.0:0.0:11.451417:9.396156:10.191272:0.0:1.7305932:0.0:1.4962139:0.0:7.7626333:0.0:4.7170305:0.0:5.946439:10.838054:0.0:0.0:0.0:1.9080901:10.2108135:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:7.8087993:1.8743466:0.0:5.6358886:0.0:2.7210817:0.0:4.794131:0.0:0.0:0.0:5.84534:0.0:0.0:0.0:0.0:0.0:0.0:3.3802202:0.0:0.0:0.0:0.0:0.87187654:3.420129:5.095494:0.0:0.0:0.87540424:0.10632598:0.0:0.0:3.4057488:4.837089:2.50288:7.401226:0.0:0.0:0.0:5.5194335:0.0:0.0:0.0:0.0:0.0:0.0:7.6277437:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:9.650653:0.0:0.0:0.0:0.0:0.0:0.35706663:2.460359:0.0:0.0:0.0:2.3905275:0.14121662:6.853689:1.0382873:6.352598:0.0:0.0:2.7399852:0.0:0.0:3.1397517:0.0:4.2928343:5.0935917:0.0:0.0:0.0:1.3170311:10.055772:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:6.352199:0.0:0.0:4.155874
1,8.262519:0.0:0.0:8.3090315:0.0:8.444598:0.0:18.38469:0.0:0.0:0.0:0.0:0.0:0.0:6.2690997:0.0:0.0:0.0:6.364988:0.0:11.87467:6.270171:0.0:5.928505:0.0:1.5462289:0.0:0.0:8.4082775:10.516575:10.9797535:0.0:0.0:0.0:0.0:4.9137673:0.0:0.0:0.0:0.0:0.0:5.164496:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:1.77408:0.0:0.0:5.136433:0.0:0.0:0.0:2.8567004:0.0:0.0:0.43220484:1.8311319:14.505487:10.54604:3.244392:10.86276:0.0:0.0:0.0:0.0:0.0:5.5299797:13.266938:7.1481285:8.852313:0.0:0.0:3.0257206:9.75559:6.766209:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:12.290547:0.0:0.0:2.848671:0.0:5.9590607:0.0:0.0:0.0:0.0:1.9019285:4.58845:0.0:5.178887:2.7875445:0.0:0.0:0.0:0.0:1.0079596:0.0:0.0:1.1190834:1.8780833:7.822355:0.0:0.0:12.674955:0.0:0.9768988:0.0:0.0:3.8073287:6.358838:12.516961:3.5639503:0.0:1.268019:0.0:2.423483:4.931236:0.0:0.0:0.45760465:0.0:0.0:9.769617:0.49555248:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:1.7595263:0.0:0.94785583:0.0:1.4699109:0.0:0.0:0.0:0.0:0.0:0.0:6.319103:0.0:0.0:0.0:0.0:11.365048:4.3176975:5.41473:2.1273696:0.27317047:0.0:10.110955:0.0:3.0331738:0.0:0.0:3.727812:8.123393:14.245965:0.0:0.0:0.0:0.0:11.054484:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:0.0:1.2529881:3.53589:0.0:3.719995
